company,industry,funds_raised_millions,max_percentage
Lever,Recruiting,72,0.40
Hirect,Recruiting,0,0.40
ZipRecruiter,Recruiting,219,0.39
Gem,Recruiting,148,0.33
Glassdoor,Recruiting,204,0.30
Dover,Recruiting,22,0.30
"Greenhouse Software",Recruiting,110,0.28
"Built In",Recruiting,29,0.25
Textio,Recruiting,41,0.20
Jobcase,Recruiting,118,0.20
Hireology,Recruiting,52,0.17
Triplebyte,Recruiting,48,0.17
Kenoby,Recruiting,23,0.16
"Stack Overflow",Recruiting,68,0.15
Wonolo,Recruiting,52,0.13
Andela,Recruiting,181,0.10
Workable,Recruiting,84,0.10
LinkedIn,Recruiting,154,0.06
Bonsai,Retail,27,0.55
Worksmith,Retail,4,0.50
"Bossa Nova",Retail,102,0.50
"Le Tote",Retail,62,0.50
Shipsi,Retail,2,0.50
Trell,Retail,62,0.50
B8ta,Retail,88,0.50
Leafly,Retail,2,0.50
Thread,Retail,40,0.50
Groupon,Retail,1400,0.44
"AliExpress Russia",Retail,60,0.40
Shop101,Retail,19,0.40
"Tamara Mellon",Retail,90,0.40
Glossier,Retail,186,0.38
Minted,Retail,297,0.37
Artnight,Retail,0,0.36
Made.com,Retail,136,0.35
Bonsai,Retail,27,0.34
CommerceHub,Retail,0,0.31
CityMall,Retail,112,0.30
Facily,Retail,502,0.30
Shogun,Retail,114,0.30
ThirdLove,Retail,68,0.30
JD.ID,Retail,5100,0.30
Meesho,Retail,215,0.28
Branch,Retail,2,0.27
Lyst,Retail,144,0.25
Flowr,Retail,0,0.25
"The Sill",Retail,7,0.25
"Rent the Runway",Retail,526,0.24
Ula,Retail,140,0.23
Casper,Retail,339,0.21
Leafly,Retail,71,0.21
"Eight Sleep",Retail,70,0.20
Heroes,Retail,265,0.20
Packable,Retail,472,0.20
Jumia,Retail,1200,0.20
GoSpotCheck,Retail,47,0.20
Nate,Retail,47,0.20
Zola,Retail,140,0.20
"iPrice Group",Retail,26,0.20
"Stitch Fix",Retail,79,0.20
OfferUp,Retail,381,0.19
Involves,Retail,23,0.18
Enjoy,Retail,310,0.18
"Stitch Fix",Retail,79,0.18
1stdibs,Retail,253,0.17
Swappie,Retail,169,0.17
Everlane,Retail,176,0.17
Wish,Retail,1600,0.17
"Grove Collaborative",Retail,474,0.17
Article,Retail,0,0.17
UpScalio,Retail,62,0.15
Flowhub,Retail,45,0.15
Ibotta,Retail,85,0.15
ThredUp,Retail,305,0.15
Finder,Retail,30,0.15
"Stitch Fix",Retail,79,0.15
"Daniel Wellington",Retail,0,0.15
Livspace,Retail,157,0.15
Wish,Retail,1600,0.15
Mejuri,Retail,28,0.15
Groupon,Retail,1400,0.15
Redbubble,Retail,55,0.14
"Benitago Group",Retail,380,0.14
VTEX,Retail,365,0.13
Chrono24,Retail,205,0.13
Salsify,Retail,97,0.13
BigCommerce,Retail,224,0.13
"Back Market",Retail,1000,0.13
Trax,Retail,1000,0.12
StockX,Retail,160,0.12
Zilingo,Retail,307,0.12
Reach,Retail,30,0.12
Bark,Retail,0,0.12
Salsify,Retail,452,0.11
Daraz,Retail,0,0.11
Away,Retail,181,0.10
Mejuri,Retail,28,0.10
"Lightspeed Commerce",Retail,1200,0.10
Firework,Retail,269,0.10
Shopify,Retail,122,0.10
"Una Brands",Retail,55,0.10
Grover,Retail,2300,0.10
"The RealReal",Retail,358,0.10
Wayfair,Retail,1700,0.10
Trax,Retail,386,0.10
"Loja Integrada",Retail,0,0.10
Carousell,Retail,372,0.10
Enjoei,Retail,14,0.10
"Berlin Brands Group",Retail,1000,0.10
Marketforce,Retail,42,0.09
Glossier,Retail,266,0.08
StockX,Retail,690,0.08
"Pomelo Fashion",Retail,120,0.08
Syte,Retail,71,0.08
SIRCLO,Retail,92,0.08
Trax,Retail,1000,0.08
SSense,Retail,0,0.07
"The RealReal",Retail,356,0.07
Faire,Retail,1700,0.07
"The Iconic",Retail,0,0.06
DealShare,Retail,390,0.06
Saks.com,Retail,965,0.05
Boozt,Retail,56,0.05
Zilingo,Retail,307,0.05
"Boosted Commerce",Retail,137,0.05
Wayfair,Retail,1700,0.05
Zappos,Retail,62,0.04
eBay,Retail,1200,0.04
Udaan,Retail,1500,0.04
Amazon,Retail,108,0.03
MadeiraMadeira,Retail,338,0.03
Poshmark,Retail,153,0.02
Moglix,Retail,472,0.02
Amazon,Retail,108,0.02
Mercos,Sales,2,0.40
Springbig,Sales,32,0.23
PartnerStack,Sales,36,0.20
Introhive,Sales,125,0.16
Pipedrive,Sales,90,0.15
DocuSign,Sales,536,0.10
Khoros,Sales,138,0.10
6sense,Sales,426,0.10
CaptivateIQ,Sales,164,0.10
Salesloft,Sales,245,0.10
Salesforce,Sales,65,0.10
Highspot,Sales,644,0.10
Forma.ai,Sales,58,0.09
DocuSign,Sales,536,0.09
Loopio,Sales,11,0.08
ServiceTitan,Sales,1100,0.08
Gong,Sales,583,0.07
Outreach,Sales,489,0.07
Outreach,Sales,489,0.05
Demandbase,Sales,143,0.03
Salesforce,Sales,65,0.02
Salesforce,Sales,65,0.01
Lastline,Security,52,0.40
Latch,Security,342,0.37
Tor,Security,1,0.37
IronNet,Security,410,0.35
Latch,Security,342,0.28
Stytch,Security,126,0.25
Avast,Security,0,0.25
OneTrust,Security,926,0.25
AppGate,Security,0,0.22
Veriff,Security,7,0.21
Lacework,Security,1900,0.20
"Finite State",Security,49,0.20
IronNet,Security,410,0.17
Ermetic,Security,97,0.17
OwnBackup,Security,507,0.17
Cybereason,Security,750,0.17
Code42,Security,137,0.15
CyCognito,Security,153,0.15
Devo,Security,481,0.15
Vanta,Security,203,0.14
NSO,Security,1,0.14
Snyk,Security,849,0.14
Malwarebytes,Security,80,0.14
Pipl,Security,19,0.13
Jumpcloud,Security,416,0.12
InfoSum,Security,88,0.12
Veriff,Security,192,0.12
Checkmarx,Security,92,0.10
"Immersive Labs",Security,123,0.10
"Deep Instinct",Security,259,0.10
ForeScout,Security,125,0.10
Tufin,Security,21,0.10
"Aqua Security",Security,265,0.10
Sophos,Security,125,0.10
AU10TIX,Security,80,0.09
SecureWorks,Security,83,0.09
"Aqua Security",Security,100,0.09
Aura,Security,500,0.09
"Perimeter 81",Security,165,0.08
Appgate,Security,0,0.08
"Transmit Security",Security,583,0.07
"NCC Group",Security,0,0.07
Latch,Security,342,0.06
Jumio,Security,205,0.06
Cybereason,Security,750,0.06
Truiloo,Security,474,0.05
Okta,Security,1200,0.05
Varonis,Security,30,0.05
Cognyte,Security,0,0.05
Armis,Security,537,0.04
Zscaler,Security,148,0.03
F5,Security,0,0.01
Unbabel,Support,91,0.35
Clinc,Support,59,0.32
Movidesk,Support,1,0.25
"Ada Support",Support,60,0.23
LiveVox,Support,12,0.16
Ada,Support,190,0.16
Exotel,Support,87,0.15
Cogito,Support,92,0.14
Intercom,Support,240,0.13
Podium,Support,419,0.12
LivePerson,Support,42,0.11
Uniphore,Support,620,0.10
8x8,Support,253,0.09
Personetics,Support,178,0.08
8x8,Support,253,0.07
Intercom,Support,240,0.06
Intercom,Support,240,0.05
Zendesk,Support,85,0.05
Sprinklr,Support,429,0.04
Amdocs,Support,0,0.03
Freshworks,Support,484,0.02
TaskUs,Support,279,0.00
Baraja,Transportation,63,0.75
GoMechanic,Transportation,54,0.70
"Embark Trucks",Transportation,317,0.70
Volta,Transportation,575,0.54
"Virgin Hyperloop",Transportation,368,0.50
Otonomo,Transportation,231,0.50
SWVL,Transportation,264,0.50
Arrival,Transportation,629,0.50
Bounce,Transportation,214,0.40
Moovel,Transportation,0,0.37
"Share Now",Transportation,0,0.36
"Divergent 3D",Transportation,88,0.36
Ola,Transportation,3800,0.35
Scoop,Transportation,95,0.33
BusBud,Transportation,21,0.32
SWVL,Transportation,132,0.32
Careem,Transportation,771,0.31
Arrival,Transportation,629,0.30
TrueCar,Transportation,340,0.30
Buser,Transportation,138,0.30
Bird,Transportation,623,0.30
Turo,Transportation,467,0.30
Spin,Transportation,8,0.25
Uber,Transportation,24700,0.25
Baton,Transportation,13,0.25
Getaround,Transportation,403,0.25
TuSimple,Transportation,648,0.25
Bird,Transportation,783,0.23
Uber,Transportation,24700,0.23
Bounce,Transportation,214,0.22
Clutch,Transportation,153,0.22
SpotHero,Transportation,117,0.21
Vroom,Transportation,1300,0.20
"Oye Rickshaw",Transportation,13,0.20
"Kodiak Robotics",Transportation,40,0.20
Nuro,Transportation,2100,0.20
Zipcar,Transportation,107,0.20
Carwow,Transportation,157,0.20
Lyft,Transportation,4900,0.17
"Tier Mobility",Transportation,646,0.16
Dance,Transportation,63,0.16
Zoomo,Transportation,105,0.16
Ridecell,Transportation,73,0.15
Cazoo,Transportation,2000,0.15
Ike,Transportation,52,0.14
Vroom,Transportation,1300,0.14
Uber,Transportation,24700,0.14
"Rad Power Bikes",Transportation,329,0.14
Lime,Transportation,765,0.13
Voi,Transportation,515,0.13
CarGurus,Transportation,1,0.13
Lyft,Transportation,4900,0.13
Uber,Transportation,24700,0.13
"GoTo Group",Transportation,1300,0.12
Carvana,Transportation,1600,0.12
"REE Automotive",Transportation,317,0.11
Starship,Transportation,197,0.11
Moladin,Transportation,138,0.11
Ouster,Transportation,282,0.10
Volta,Transportation,575,0.10
Spin,Transportation,8,0.10
"Rad Power Bikes",Transportation,329,0.10
Zoox,Transportation,955,0.10
TomTom,Transportation,0,0.10
Voi,Transportation,515,0.10
Carsome,Transportation,607,0.10
HopSkipDrive,Transportation,45,0.10
Getaround,Transportation,948,0.10
Tesla,Transportation,20200,0.10
Ouster,Transportation,132,0.10
Gojek,Transportation,4800,0.09
Carvana,Transportation,1600,0.08
Waymo,Transportation,5500,0.08
Cruise,Transportation,5300,0.08
Superpedestrian,Transportation,261,0.07
"Tier Mobility",Transportation,646,0.07
Rivian,Transportation,10700,0.06
Cars24,Transportation,1300,0.06
Rivian,Transportation,10700,0.06
Canoo,Transportation,300,0.06
Motive,Transportation,567,0.06
"Argo AI",Transportation,3600,0.05
Bounce,Transportation,214,0.05
Waze,Transportation,67,0.05
Grab,Transportation,9900,0.05
Reef,Transportation,1500,0.05
99,Transportation,244,0.02
Lyft,Transportation,4900,0.02
Rivian,Transportation,3100,0.02
"Airy Rooms",Travel,0,0.70
Hipcamp,Travel,41,0.60
"Remote Year",Travel,17,0.50
WhyHotel,Travel,33,0.50
TravelTriangle,Travel,47,0.50
MaxMilhas,Travel,0,0.42
PickYourTrail,Travel,3,0.35
Impala,Travel,32,0.35
Pollen,Travel,238,0.33
Flymya,Travel,0,0.33
Sonder,Travel,359,0.33
Pollen,Travel,88,0.31
Domio,Travel,116,0.30
"Horizn Studios",Travel,30,0.25
Tripbam,Travel,0,0.25
Agoda,Travel,0,0.25
TripActions,Travel,981,0.25
Booking.com,Travel,0,0.25
Airbnb,Travel,5400,0.25
TripAdvisor,Travel,3,0.25
WanderJaunt,Travel,26,0.23
Inspirato,Travel,79,0.22
AvantStay,Travel,686,0.22
"The Guild",Travel,36,0.22
Sonder,Travel,839,0.21
FabHotels,Travel,48,0.20
Cabin,Travel,3,0.20
Skyscanner,Travel,197,0.20
GetYourGuide,Travel,656,0.17
Vacasa,Travel,834,0.17
Frontdesk,Travel,3,0.16
Klook,Travel,521,0.15
Sonder,Travel,839,0.14
Inspirato,Travel,179,0.12
RedDoorz,Travel,134,0.10
MakeMyTrip,Travel,548,0.10
MakeMyTrip,Travel,548,0.10
Traveloka,Travel,0,0.10
"Kayak / OpenTable",Travel,229,0.08
